word,meaning
apple,사과
book,책
car,자동차
dog,개
house,집
computer,컴퓨터
phone,전화기
water,물
food,음식
friend,친구
school,학교
teacher,선생님
student,학생
family,가족
time,시간
money,돈
work,일하다
study,공부하다
play,놀다
sleep,자다
eat,먹다
drink,마시다
walk,걷다
run,뛰다
write,쓰다
read,읽다
watch,보다
listen,듣다
speak,말하다
think,생각하다
know,알다
see,보다
hear,듣다
feel,느끼다
love,사랑하다
like,좋아하다
want,원하다
need,필요하다
help,도와주다
give,주다
take,가져가다
make,만들다
do,하다
go,가다
come,오다
get,얻다
put,놓다
say,말하다
tell,말하다
ask,묻다
answer,답하다
find,찾다
look,보다
use,사용하다
try,시도하다
start,시작하다
stop,멈추다
begin,시작하다
end,끝내다
open,열다
close,닫다
buy,사다
sell,팔다
pay,지불하다
cost,비용이 들다
price,가격
free,무료
cheap,싼
expensive,비싼
big,큰
small,작은
long,긴
short,짧은
high,높은
low,낮은
good,좋은
bad,나쁜
new,새로운
old,오래된
hot,뜨거운
cold,차가운
warm,따뜻한
cool,시원한
fast,빠른
slow,느린
easy,쉬운
hard,어려운
strong,강한
weak,약한
rich,부유한
poor,가난한
happy,행복한
sad,슬픈
angry,화난
tired,피곤한
busy,바쁜
free,자유로운
clean,깨끗한
dirty,더러운
full,가득한
empty,빈
right,맞는
wrong,틀린
same,같은
different,다른
first,첫 번째
last,마지막
next,다음
before,전에
after,후에
now,지금
then,그때
today,오늘
tomorrow,내일
yesterday,어제
week,주
month,달
year,년
morning,아침
afternoon,오후
evening,저녁
night,밤
day,날
weekend,주말
holiday,휴일
birthday,생일
party,파티
game,게임
song,노래
music,음악
movie,영화
TV,텔레비전
news,뉴스
weather,날씨
sun,태양
moon,달
star,별
rain,비
snow,눈
wind,바람
cloud,구름
sky,하늘
sea,바다
mountain,산
river,강
lake,호수
forest,숲
tree,나무
flower,꽃
grass,풀
bird,새
fish,물고기
cat,고양이
horse,말
cow,소
pig,돼지
chicken,닭
duck,오리
lion,사자
tiger,호랑이
elephant,코끼리
giraffe,기린
monkey,원숭이
bear,곰
wolf,늑대
fox,여우
rabbit,토끼
mouse,쥐
snake,뱀
frog,개구리
butterfly,나비
bee,벌
ant,개미
spider,거미
red,빨간
blue,파란
green,초록
yellow,노란
orange,주황
purple,보라
pink,분홍
brown,갈색
black,검은
white,흰
gray,회색
color,색
size,크기
shape,모양
number,숫자
name,이름
age,나이
job,직업
country,나라
city,도시
language,언어
word,단어
sentence,문장
story,이야기
question,질문
answer,답
problem,문제
solution,해결책
idea,아이디어
plan,계획
goal,목표
dream,꿈
hope,희망
wish,소원
chance,기회
luck,운
success,성공
failure,실패
mistake,실수
error,오류
truth,진실
lie,거짓말
secret,비밀
surprise,놀람
shock,충격
fear,두려움
courage,용기
confidence,자신감
pride,자부심
shame,부끄러움
guilt,죄책감
regret,후회
forgive,용서하다
forget,잊다
remember,기억하다
learn,배우다
teach,가르치다
explain,설명하다
understand,이해하다
know,알다
believe,믿다
trust,신뢰하다
doubt,의심하다
wonder,궁금해하다
guess,추측하다
imagine,상상하다
create,창조하다
build,건설하다
make,만들다
produce,생산하다
grow,성장하다
develop,발전하다
improve,개선하다
change,변화하다
become,되다
turn,돌다
move,움직이다
stay,머물다
leave,떠나다
arrive,도착하다
reach,도달하다
catch,잡다
throw,던지다
hit,치다
kick,차다
push,밀다
pull,당기다
lift,들다
carry,나르다
hold,잡다
touch,만지다
feel,느끼다
smell,냄새를 맡다
taste,맛보다
hear,듣다
see,보다
watch,보다
look,보다
notice,알아차리다
observe,관찰하다
examine,검사하다
check,확인하다
test,시험하다
measure,측정하다
count,세다
calculate,계산하다
add,더하다
subtract,빼다
multiply,곱하다
divide,나누다
equal,같다
plus,더하기
minus,빼기
times,곱하기
divided,나누기
percent,퍼센트
half,절반
quarter,사분의 일
third,삼분의 일
fifth,오분의 일
tenth,십분의 일
hundred,백
thousand,천
million,백만
billion,십억
first,첫 번째
second,두 번째
third,세 번째
fourth,네 번째
fifth,다섯 번째
sixth,여섯 번째
seventh,일곱 번째
eighth,여덟 번째
ninth,아홉 번째
tenth,열 번째
eleventh,열한 번째
twelfth,열두 번째
thirteenth,열세 번째
fourteenth,열네 번째
fifteenth,열다섯 번째
sixteenth,열여섯 번째
seventeenth,열일곱 번째
eighteenth,열여덟 번째
nineteenth,열아홉 번째
twentieth,스무 번째
thirty,서른
forty,마흔
fifty,쉰
sixty,예순
seventy,일흔
eighty,여든
ninety,아홉십
hundred,백
thousand,천
million,백만
billion,십억
trillion,조
zero,영
one,하나
two,둘
three,셋
four,넷
five,다섯
six,여섯
seven,일곱
eight,여덟
nine,아홉
ten,열
eleven,열하나
twelve,열둘
thirteen,열셋
fourteen,열넷
fifteen,열다섯
sixteen,열여섯
seventeen,열일곱
eighteen,열여덟
nineteen,열아홉
twenty,스물 
